Client Name:,Bushy Tails,Job Number:,DUMMY-2026-0005-01,,,,,,,,,,,,,,,
Site Name:,Bristol,Report From:,,To:,,,,,,,,,,,,,,
Data Files:,"2025-DESNZ-Conversion-Factors-Activity 2025, 2025-DESNZ-Conversion-Factors-Activity 2025, 2022-DEFRA-Conversion-Factors-Spend 2022",,,,,,,,,,,,,,,,,
Scope,Category,Report Label,ID,UOM, [Mth1] , [Mth2] , [Mth3] , [Mth4] , [Mth5] , [Mth6] , [Mth7] , [Mth8] , [Mth9] , [Mth10] , [Mth11] , [Mth12] , Qty ,Notes
Scope 1,Company Vehicles,HGV (all diesel) Rigid (>3.5 - 7.5 tonnes) Average laden,5_304_3112_9_1,miles,,,,,,,,,,,,, -   ,
Scope 1,Company Vehicles,HGV (all diesel) Rigid (>7.5 tonnes-17 tonnes) Average laden,5_304_3116_9_1,miles,,,,,,,,,,,,, -   ,
Scope 1,Company Vehicles,HGV (all diesel) Rigid (>17 tonnes) Average laden,5_304_3120_9_1,miles,,,,,,,,,,,,, -   ,
Scope 1,Company Vehicles,HGV (all diesel) All rigids Average laden,5_304_3124_9_1,miles,,,,,,,,,,,,, -   ,
Scope 1,Company Vehicles,HGV (all diesel) Articulated (>3.5 - 33t) Average laden,5_304_3128_9_1,miles,,,,,,,,,,,,, -   ,
Scope 1,Company Vehicles,HGV (all diesel) Articulated (>33t) Average laden,5_304_3132_9_1,miles,,,,,,,,,,,,, -   ,
Scope 1,Company Vehicles,HGV (all diesel) All artics Average laden,5_304_3136_9_1,miles,,,,,,,,,,,,, -   ,
Scope 1,Company Vehicles,HGV (all diesel) All HGVs Average laden,5_304_3140_9_1,miles,,,,,,,,,,,,, -   ,
Scope 1,Company Vehicles,HGVs refrigerated (all diesel) Rigid (>3.5 - 7.5 tonnes) Average laden,5_305_3112_9_1,miles,,,,,,,,,,,,, -   ,
Scope 1,Company Vehicles,HGVs refrigerated (all diesel) Rigid (>7.5 tonnes-17 tonnes) Average laden,5_305_3116_9_1,miles,,,,,,,,,,,,, -   ,
Scope 1,Company Vehicles,HGVs refrigerated (all diesel) Rigid (>17 tonnes) Average laden,5_305_3120_9_1,miles,,,,,,,,,,,,, -   ,
Scope 1,Company Vehicles,HGVs refrigerated (all diesel) All rigids Average laden,5_305_3124_9_1,miles,,,,,,,,,,,,, -   ,
Scope 1,Company Vehicles,HGVs refrigerated (all diesel) Articulated (>3.5 - 33t) Average laden,5_305_3128_9_1,miles,,,,,,,,,,,,, -   ,
Scope 1,Company Vehicles,HGVs refrigerated (all diesel) Articulated (>33t) Average laden,5_305_3132_9_1,miles,,,,,,,,,,,,, -   ,
Scope 1,Company Vehicles,HGVs refrigerated (all diesel) All artics Average laden,5_305_3136_9_1,miles,,,,,,,,,,,,, -   ,
Scope 1,Company Vehicles,HGVs refrigerated (all diesel) All HGVs Average laden,5_305_3140_9_1,miles,,,,,,,,,,,,, -   ,
Scope 2,Electricity,Electricity Grid  ,7_400_4000_5_1,kWh,,,,,,,,,,,,, -   ,
Scope 2,Green Electricity,Green Electricity Grid  ,Not-Defined1,kWh,,,,,,,,,,,,, -   ,
Scope 2,Green Electricity,Green Electricity Solar Grid ,Not-Defined2,kWh,,,,,,,,,,,,, -   ,
Scope 2,Green Electricity,Green Electricity Wind Grid ,Not-Defined3,kWh,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Water supply,17_404_4005_1_1,m3,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Products of agriculture,SPEND-SIC-2022-01,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Products of forestry,SPEND-SIC-2022-02,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Fishing products and services ,SPEND-SIC-2022-03,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Coal and lignite,SPEND-SIC-2022-05,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Crude petroleum and natural gas           ,SPEND-SIC-2022-06,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Other mining and quarrying products           ,SPEND-SIC-2022-08,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Mining support services             ,SPEND-SIC-2022-09,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Preserved meat products           ,SPEND-SIC-2022-10.1,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,"Processed seafood, fruit and vegetables       ",SPEND-SIC-2022-10.2 -3,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Vegetable and animal oils and fats          ,SPEND-SIC-2022-10.4,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Dairy products              ,SPEND-SIC-2022-10.5,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Grain mill and starch products,SPEND-SIC-2022-10.6,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Bakery products            ,SPEND-SIC-2022-10.7,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Other food products             ,SPEND-SIC-2022-10.8,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Prepared animal feeds             ,SPEND-SIC-2022-10.9,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Alcoholic beverages              ,SPEND-SIC-2022-11.01-6,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Soft drinks              ,SPEND-SIC-2022-11.07,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Tobacco products              ,SPEND-SIC-2022-12,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Textiles               ,SPEND-SIC-2022-13,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Wearing apparel              ,SPEND-SIC-2022-14,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Leather and related products            ,SPEND-SIC-2022-15,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,"Wood, straw and products, except furniture",SPEND-SIC-2022-16,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Paper and paper products            ,SPEND-SIC-2022-17,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Printing and recording services            ,SPEND-SIC-2022-18,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Coke and refined petroleum products           ,SPEND-SIC-2022-19,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,"Paints, varnishes and similar coatings, printing ink and mastics       ",SPEND-SIC-2022-20.3,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Cleaning and polishing preparations,SPEND-SIC-2022-20.4,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Other chemical products             ,SPEND-SIC-2022-20.5,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Industrial gases,SPEND-SIC-2022-20A,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Petrochemicals,SPEND-SIC-2022-20B,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Dyestuffs abd agro-chemicals,SPEND-SIC-2022-20C,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Basic pharmaceutical products,SPEND-SIC-2022-21,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Rubber and plastic products            ,SPEND-SIC-2022-22,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,"Cement, lime, plaster and concrete    ",SPEND-SIC-2022-23.5-6,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,"Glass, refractory, clay and porcelain products",SPEND-SIC-2022-23OTHER,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Basic iron and steel            ,SPEND-SIC-2022-24.1-3,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Other basic metals and casting           ,SPEND-SIC-2022-24.4-5,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Weapons and ammunition             ,SPEND-SIC-2022-25.4,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Other manufactured goods             ,SPEND-SIC-2022-32,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Repair and maintenance of ships and boats         ,SPEND-SIC-2022-33.15,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Repair and maintenance of aircraft and spacecraft         ,SPEND-SIC-2022-33.16,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Rest of repair and iInstallation,SPEND-SIC-2022-33OTHER,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,"Electricity, transmission and distribution            ",SPEND-SIC-2022-35.1,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,"Gas, distribution of gas through mains, steam and air conditioning supply    ",SPEND-SIC-2022-35.2-3,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Natural water; water treatment and supply services         ,SPEND-SIC-2022-36,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Sewerage services; sewage sludge            ,SPEND-SIC-2022-37,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,"Waste collection, treatment and disposal services; materials recovery services       ",SPEND-SIC-2022-38,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Remediation services and other waste management services         ,SPEND-SIC-2022-39,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Buildings and building construction works           ,SPEND-SIC-2022-41.2,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Constructions and construction works for civil engineering         ,SPEND-SIC-2022-42.1-2,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Specialised construction works             ,SPEND-SIC-2022-42.99,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Wholesale and retail trade and repair services of motor vehicles and motorcycles    ,SPEND-SIC-2022-45,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,"Wholesale trade services, except of motor vehicles and motorcycles       ",SPEND-SIC-2022-46,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,"Retail trade services, except of motor vehicles and motorcycles       ",SPEND-SIC-2022-47,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Rail transport services             ,SPEND-SIC-2022-49.1-2,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Water transport services             ,SPEND-SIC-2022-50,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Air transport services             ,SPEND-SIC-2022-51,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Warehousing and support services for transportation          ,SPEND-SIC-2022-52,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Postal and courier services            ,SPEND-SIC-2022-53,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Accommodation services              ,SPEND-SIC-2022-55,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Food and beverage serving services           ,SPEND-SIC-2022-56,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Publishing services              ,SPEND-SIC-2022-58,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,"Motion picture, video and TV programme production services, sound recording & music publishing   ",SPEND-SIC-2022-59,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Programming and broadcasting services            ,SPEND-SIC-2022-60,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Telecommunications services              ,SPEND-SIC-2022-61,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,"Computer programming, consultancy and related services          ",SPEND-SIC-2022-62,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Information services              ,SPEND-SIC-2022-63,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,"Financial services, except insurance and pension funding         ",SPEND-SIC-2022-64,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,"Insurance, reinsurance and pension funding services, except compulsory social security      ",SPEND-SIC-2022-65.1-2,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Services auxiliary to financial services and insurance services        ,SPEND-SIC-2022-66,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,"Real estate services, excluding on a fee or contract basis and imputed rent   ",SPEND-SIC-2022-68.12,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Owner-Occupiers' Housing Services             ,SPEND-SIC-2022-68.2IMP,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Real estate services on a fee or contract basis       ,SPEND-SIC-2022-68.3,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Legal services              ,SPEND-SIC-2022-69.1,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,"Accounting, bookkeeping and auditing services; tax consulting services        ",SPEND-SIC-2022-69.2,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Services of head offices; management consulting services         ,SPEND-SIC-2022-70,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Architectural and engineering services; technical testing and analysis services       ,SPEND-SIC-2022-71,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Scientific research and development services           ,SPEND-SIC-2022-72,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Advertising and market research services           ,SPEND-SIC-2022-73,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,"Other professional, scientific and technical services          ",SPEND-SIC-2022-74,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Veterinary services              ,SPEND-SIC-2022-75,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Employment services              ,SPEND-SIC-2022-78,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,"Travel agency, tour operator and other reservation services and related services     ",SPEND-SIC-2022-79,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Security and investigation services            ,SPEND-SIC-2022-80,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Services to buildings and landscape           ,SPEND-SIC-2022-81,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,"Office administrative, office support and other business support services       ",SPEND-SIC-2022-82,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Public administration and defence services; compulsory social security services       ,SPEND-SIC-2022-84,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Education services              ,SPEND-SIC-2022-85,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Human health services             ,SPEND-SIC-2022-86,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Residential care services             ,SPEND-SIC-2022-87,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Social work services without accommodation           ,SPEND-SIC-2022-88,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,"Creative, arts and entertainment services           ",SPEND-SIC-2022-90,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,"Libraries, archives, museums and other cultural services         ",SPEND-SIC-2022-91,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Gambling and betting services            ,SPEND-SIC-2022-92,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Sports services and amusement and recreation services         ,SPEND-SIC-2022-93,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Services furnished by membership organisations           ,SPEND-SIC-2022-94,GBP,,,,,,,,,,,,, -   ,
