Client Name:,Bushy Tails,Job Number:,DUMMY-2026-0005-01,,,,,,,,,,,,,,,,,,,,
Site Name:,Bristol,Report From:,,To:,,,,,,,,,,,,,,,,,,,
Data Files:,"2025-DESNZ-Conversion-Factors-Activity 2025, 2025-DESNZ-Conversion-Factors-Activity 2025, 2022-DEFRA-Conversion-Factors-Spend 2022",,,,,,,,,,,,,,,,,,,,,,
Scope,Category,Report Label,ID,UOM,GHG Unit,Factor, Qty , [Mth1] , [Mth2] , [Mth3] , [Mth4] , [Mth5] , [Mth6] , [Mth7] , [Mth8] , [Mth9] , [Mth10] , [Mth11] , [Mth12] , tCO2e , Apply , tCO2e ,Notes
Scope 1,Company Vehicles,Vans Class II (1.305 to 1.74 tonnes) Petrol,5_303_3089_9_1,miles,kg CO2e,0.33594,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Vans Class II (1.305 to 1.74 tonnes) Unknown,5_303_3092_9_1,miles,kg CO2e,,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Vans Class II (1.305 to 1.74 tonnes) Plug-in Hybrid Electric Vehicle,5_303_3093_9_1,miles,kg CO2e,,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Vans Class II (1.305 to 1.74 tonnes) Battery Electric Vehicle,5_303_3094_9_1,miles,kg CO2e,0,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Vans Class III (1.74 to 3.5 tonnes) Diesel,5_303_3095_9_1,miles,kg CO2e,0.44866,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Vans Class III (1.74 to 3.5 tonnes) Petrol,5_303_3096_9_1,miles,kg CO2e,0.54468,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Vans Class III (1.74 to 3.5 tonnes) Unknown,5_303_3099_9_1,miles,kg CO2e,,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Vans Class III (1.74 to 3.5 tonnes) Plug-in Hybrid Electric Vehicle,5_303_3100_9_1,miles,kg CO2e,0.2101,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Vans Class III (1.74 to 3.5 tonnes) Battery Electric Vehicle,5_303_3101_9_1,miles,kg CO2e,0,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Vans Average (up to 3.5 tonnes) Diesel,5_303_3102_9_1,miles,kg CO2e,0.41138,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Vans Average (up to 3.5 tonnes) Petrol,5_303_3103_9_1,miles,kg CO2e,0.34336,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Vans Average (up to 3.5 tonnes) Unknown,5_303_3106_9_1,miles,kg CO2e,0.40926,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Vans Average (up to 3.5 tonnes) Plug-in Hybrid Electric Vehicle,5_303_3107_9_1,miles,kg CO2e,0.2101,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Vans Average (up to 3.5 tonnes) Battery Electric Vehicle,5_303_3108_9_1,miles,kg CO2e,0,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,HGV (all diesel) Rigid (>3.5 - 7.5 tonnes) Average laden,5_304_3112_9_1,miles,kg CO2e,0.79738,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,HGV (all diesel) Rigid (>7.5 tonnes-17 tonnes) Average laden,5_304_3116_9_1,miles,kg CO2e,0.97367,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,HGV (all diesel) Rigid (>17 tonnes) Average laden,5_304_3120_9_1,miles,kg CO2e,1.59575,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,HGV (all diesel) All rigids Average laden,5_304_3124_9_1,miles,kg CO2e,1.34783,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,HGV (all diesel) Articulated (>3.5 - 33t) Average laden,5_304_3128_9_1,miles,kg CO2e,1.26285,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,HGV (all diesel) Articulated (>33t) Average laden,5_304_3132_9_1,miles,kg CO2e,1.50346,,,,,,,,,,,,,, -   ,100%, -   ,
