Year,ID,Method,Scope,Category ,Level 2,Level 3,Level 4,Report Label,UOM,GHG/Unit,GHG Conversion Factor 2025,Valid From,Valid To,Source
2022,SPEND-PROD-2022-4-4-3,Spend,Scope 3,Sewage collection          ,,,,Sewage collection          ,GBP,kg CO2e,0.196119303,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-4-4-4,Spend,Scope 3,Other services relating to the dwelling n.e.c.     ,,,,Other services relating to the dwelling n.e.c.     ,GBP,kg CO2e,0.196119303,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-4-5-1,Spend,Scope 3,Electricity           ,,,,Electricity           ,GBP,kg CO2e,1.128334962,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-4-5-2,Spend,Scope 3,Gas           ,,,,Gas           ,GBP,kg CO2e,3.382376068,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-4-5-3,Spend,Scope 3,Liquid fuels          ,,,,Liquid fuels          ,GBP,kg CO2e,3.334227123,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-4-5-4,Spend,Scope 3,Solid fuels          ,,,,Solid fuels          ,GBP,kg CO2e,2.168471233,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-4-5-5,Spend,Scope 3,Heat energy          ,,,,Heat energy          ,GBP,kg CO2e,0.307574531,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-5-1-1,Spend,Scope 3,Furniture and furnishings         ,,,,Furniture and furnishings         ,GBP,kg CO2e,0.376773112,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-5-1-2,Spend,Scope 3,Carpets and other floor coverings       ,,,,Carpets and other floor coverings       ,GBP,kg CO2e,0.909767293,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-5-1-3,Spend,Scope 3,"Repair of furniture, furnishings and floor coverings     ",,,,"Repair of furniture, furnishings and floor coverings     ",GBP,kg CO2e,0,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-5-2-1,Spend,Scope 3,Household textiles          ,,,,Household textiles          ,GBP,kg CO2e,1.61998366,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-5-3-1,Spend,Scope 3,Major household appliances whether electric or not     ,,,,Major household appliances whether electric or not     ,GBP,kg CO2e,0.707713065,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-5-3-2,Spend,Scope 3,Small electric household appliances        ,,,,Small electric household appliances        ,GBP,kg CO2e,0.707713065,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-5-3-3,Spend,Scope 3,Repair of household applicances        ,,,,Repair of household applicances        ,GBP,kg CO2e,0.850397818,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-5-4-1,Spend,Scope 3,"Glassware,tableware and household utensils        ",,,,"Glassware,tableware and household utensils        ",GBP,kg CO2e,1.210727001,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-5-5-1,Spend,Scope 3,Major tools and equipment        ,,,,Major tools and equipment        ,GBP,kg CO2e,0.248108282,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-5-5-2,Spend,Scope 3,Small tools and miscellaneous accessories       ,,,,Small tools and miscellaneous accessories       ,GBP,kg CO2e,0.248108282,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-5-6-1,Spend,Scope 3,Non-durable household goods         ,,,,Non-durable household goods         ,GBP,kg CO2e,0.20501435,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-5-6-2,Spend,Scope 3,Domestic services and household services       ,,,,Domestic services and household services       ,GBP,kg CO2e,0.05918509,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-6-1-1,Spend,Scope 3,Pharmaceutical products          ,,,,Pharmaceutical products          ,GBP,kg CO2e,0.54625656,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-6-1-2,Spend,Scope 3,Other medical products         ,,,,Other medical products         ,GBP,kg CO2e,0.54625656,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-6-1-3,Spend,Scope 3,Therapeutic appliances and equipment        ,,,,Therapeutic appliances and equipment        ,GBP,kg CO2e,0.23118133,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-6-2-1,Spend,Scope 3,Medical services          ,,,,Medical services          ,GBP,kg CO2e,0.259588751,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-6-2-2,Spend,Scope 3,Dental services          ,,,,Dental services          ,GBP,kg CO2e,0.259588751,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-6-2-3,Spend,Scope 3,Paramedical services          ,,,,Paramedical services          ,GBP,kg CO2e,0.259588751,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-6-3-1,Spend,Scope 3,Hospital services          ,,,,Hospital services          ,GBP,kg CO2e,27.82898965,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-7-1-1,Spend,Scope 3,Motor cars          ,,,,Motor cars          ,GBP,kg CO2e,0.40412917,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-7-1-2,Spend,Scope 3,Motor cycles          ,,,,Motor cycles          ,GBP,kg CO2e,0.172012677,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-7-1-3,Spend,Scope 3,Bicycles           ,,,,Bicycles           ,GBP,kg CO2e,0.172012677,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-7-1-4,Spend,Scope 3,Animal drawn vehicles         ,,,,Animal drawn vehicles         ,GBP,kg CO2e,0,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-7-2-1,Spend,Scope 3,Spare parts and accessories for personal transport equipment    ,,,,Spare parts and accessories for personal transport equipment    ,GBP,kg CO2e,0.172063967,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-7-2-2,Spend,Scope 3,Fuels and lubricants for personal transport equipment     ,,,,Fuels and lubricants for personal transport equipment     ,GBP,kg CO2e,2.535817998,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-7-2-3,Spend,Scope 3,Maintenance and repair of personal transport equipment     ,,,,Maintenance and repair of personal transport equipment     ,GBP,kg CO2e,0.358333296,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-7-2-4,Spend,Scope 3,Other services in respect of personal transport equipment    ,,,,Other services in respect of personal transport equipment    ,GBP,kg CO2e,0.236494718,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-7-3-1-2,Spend,Scope 3,Passenger transport by railway and road      ,,,,Passenger transport by railway and road      ,GBP,kg CO2e,1.593856023,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-7-3-3,Spend,Scope 3,Passenger transport by air        ,,,,Passenger transport by air        ,GBP,kg CO2e,0.502057801,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-7-3-4,Spend,Scope 3,Other transport services         ,,,,Other transport services         ,GBP,kg CO2e,19.32881681,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-8-1-1,Spend,Scope 3,Postal services          ,,,,Postal services          ,GBP,kg CO2e,0.362254918,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-8-2-1,Spend,Scope 3,Telephone and telefax equipment        ,,,,Telephone and telefax equipment        ,GBP,kg CO2e,1.491458438,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-8-3-1,Spend,Scope 3,Telephone and telefax services        ,,,,Telephone and telefax services        ,GBP,kg CO2e,0.181045222,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-9-1-1,Spend,Scope 3,"Equipment for the reception, recording and reproduction of sound and pictures ",,,,"Equipment for the reception, recording and reproduction of sound and pictures ",GBP,kg CO2e,1.463720643,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-9-1-2,Spend,Scope 3,Photographic and cenematographic equipment        ,,,,Photographic and cenematographic equipment        ,GBP,kg CO2e,1.261969692,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-9-1-3,Spend,Scope 3,Information processing equiment         ,,,,Information processing equiment         ,GBP,kg CO2e,1.261969692,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-9-1-4,Spend,Scope 3,Recording media          ,,,,Recording media          ,GBP,kg CO2e,1.653473614,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-9-1-5,Spend,Scope 3,"Repair of audio-visual, photographic and information processing equipment    ",,,,"Repair of audio-visual, photographic and information processing equipment    ",GBP,kg CO2e,1.261969692,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-9-2-1,Spend,Scope 3,Major durables for outdoor recreation       ,,,,Major durables for outdoor recreation       ,GBP,kg CO2e,0.940213894,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-9-2-2,Spend,Scope 3,Musical instruments and major durables for indoor recreation    ,,,,Musical instruments and major durables for indoor recreation    ,GBP,kg CO2e,0.644560205,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-9-2-3,Spend,Scope 3,Maintenance and repair of other durables for recreation and culture  ,,,,Maintenance and repair of other durables for recreation and culture  ,GBP,kg CO2e,0.715351726,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-9-3-1,Spend,Scope 3,"Games, toys and hobbies        ",,,,"Games, toys and hobbies        ",GBP,kg CO2e,0.840221704,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-9-3-2,Spend,Scope 3,"Equipment for sport, camping and open-air recreation     ",,,,"Equipment for sport, camping and open-air recreation     ",GBP,kg CO2e,3.074843539,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
